Commit Hash,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
6f3e0b68e0030051d9181fb1f494e539adeb069c,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
9e84b381356f5a4ade084ec718a5ce8dfcf04454,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
2829013d2d00e63d75a1f6f7a3f003bc60cc69af,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
0440dbc0e1e311615c52bd8c903d41ad9156831a,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
2c2495cc7b0e3e2942a9310f61548f40a2bc8425,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
89d27fa6fff206c0153e9670ae09e2766eb75cdf,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
994cad2790af71d87c1cdd459a8484dada2c7115,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
32c95bd847a0064cc20fadfe4e5dbdd8b0266cea,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
ea219ed164bead55a5513e8cfaa17a25d5613b9e,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
1c4b62b219323a31011bac3bd3cece7675d9e4c3,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
858545047c05a35fde437b2ada3a901844cd1e60,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
6a876462c308bd7cd7d3ca8e93abaa7d5b02e90e,5428,1010,572,18,1284,5708,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
b80b3ec529093b9f74d158c55f6245157e241507,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
acc49e390d386657288e71e75804db945f514e81,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
25992b493c88058948910e7a6ca3eb3ce4c9f4f1,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
b070025aa64763287d57351775705398c7c8c8ec,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
9215cc62d4366072aacafa4e44028c1ca187167b,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
556d2c23c62ee9754887d076b35f6fb6a95cace9,5430,1002,572,18,1284,5702,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
47cc4da35190547426d345d23d5fbc062bd6cb76,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
4a60bae8e236140a4e711f773c975707b8acd032,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
48ef468c74df242919b9fa5c7fe27bae946db732,4578,992,560,10,1164,4956,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
a3201cea1432172febfa94b60ccfa44cc764d5b8,4574,992,560,10,1164,4952,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
a929c466d053cd51dd06f51eb17ef84495fb37c3,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
f263e88dcf03940e005114d110a99dc2f4e26f81,4626,992,560,10,1164,5004,"[259, 377, 330, 78, 400, 20, 502, 22, 89, 703]"
159445d044623a4eba23ceb96dc7bd5bda51aa1a,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
1b9978c36095630e6d1c34e06073a1ddf5a298ab,5428,1002,572,18,1284,5700,"[89, 259, 330, 78, 400, 20, 502, 22, 377, 703]"
